T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
0.000141037,-0.008647976,-0.000214038,0.003370016,0.000450296,0.002789834,0.000799095,-0.11305124,-0.004516554,0.15801951,0.002190469,0.048658993
-0.00042173,0.008946515,-0.000382945,0.005451206,0.000275905,-0.000377779,-0.003563239,0.12168887,-0.007003763,0.22555922,0.003292075,0.055012256
8.8807719e-06,0.00219355,-0.000238982,0.007220528,8.47864E-05,0.008515622,0.000616608,-0.019421738,-0.003780633,0.17184465,-0.000781904,0.10306877
-0.000135199,0.002996023,-0.000717251,0.005075571,0.000231445,0.00281536,-0.004188411,0.11903781,-0.004672287,0.16895318,0.000268841,0.089801326
-0.000755808,0.027884142,-0.000532888,0.01487135,0.000201272,0.000541587,-0.003458846,0.1090391,-0.002626806,0.10738555,0.002153219,0.01222156
-0.000166307,0.003437714,-0.000437455,0.010137241,0.000459929,0.000502231,-0.002475729,0.086497508,-0.004567407,0.18640168,0.002572989,0.052551139
-0.000195115,0.010098323,-0.000271078,0.000562475,0.00040612,0.002527854,-0.001239356,0.043552727,-0.001816272,0.15605798,0.001917298,0.06135432
-0.000829024,0.025054542,-0.000752862,0.017909482,0.000244683,0.002546492,-0.003488284,0.11351469,-0.000735237,0.016223047,0.000414653,0.052314423
-0.000183634,-0.003668752,-0.000309967,-0.000458633,0.000133152,-0.000844571,-0.000744853,-0.031145368,-0.004011584,0.14187017,0.000726773,0.019775128
-0.000396477,0.012595821,-0.000848623,0.012580938,1.84983E-05,0.005450207,-0.006540666,0.15328084,-0.012369654,0.36553207,0.00217078,0.10205302
-0.000602508,0.017991858,-0.001616857,0.033157542,0.000300393,-0.000580037,-0.003549258,0.099158593,-0.004466473,0.16505308,0.00094719,0.040658284
-0.000635719,0.006500233,-0.000361183,0.007536409,0.000261988,0.006486742,-0.003088075,0.053553946,-0.007321833,0.24319583,-0.000489667,0.073916703
4.31606E-05,-0.001091648,-0.000298589,0.007033528,0.000374129,0.000361993,0.000688743,-0.034747098,-0.002157114,0.10090242,0.001282189,0.041720472
-0.000349592,0.013445741,-0.000568448,0.011391295,0.000215432,0.005423869,-0.000873249,0.045789547,-0.002899413,0.2087156,0.001481078,0.10218856
-0.000644245,0.018693654,-0.000238656,0.009760275,0.000408787,-0.000435574,-0.004981333,0.12795834,-0.000777051,0.083466135,0.001121712,0.037370209
-0.000276776,0.004807764,-0.000583245,0.012524347,0.000299344,0.00262358,-0.003893908,0.012964974,-0.00090652,0.16967003,0.000161149,0.1027221
-0.000799351,0.033953715,-0.00050742,0.012564154,0.0003672,-0.000495446,-0.002454253,0.080295913,-0.002163104,0.10017222,0.001747088,0.041319646
-0.000494344,0.009274855,-0.000517972,0.011832304,0.000448825,-0.000506415,-0.001088971,0.043098081,-0.007337592,0.23775348,0.002631023,0.044682719
-9.48908E-05,0.001880442,-0.000569446,0.013377761,0.000271302,0.002080858,-0.000689193,0.007013398,-0.003991359,0.19903687,0.001037562,0.054484427
-0.000290057,0.01241947,-0.00052935,0.011547528,0.000119668,0.003645431,-0.004805859,0.14796402,-0.003788798,0.13921921,0.001935851,0.011025576
-0.000323542,0.007297061,-0.000980287,0.021311533,0.000300095,-0.003102313,-0.003877866,0.092940658,-0.002086086,0.10853991,0.002831013,-0.000301041
-0.000620078,0.019988621,-0.000978125,0.024180166,0.0001249,-0.005202599,-0.002758267,0.068846039,-0.00371451,0.078337446,0.000926895,0.031187514
-0.000328181,0.0109854,-0.000355794,0.010240443,0.000282168,0.001102968,-0.003625297,0.10398942,-0.00394568,0.19401745,0.001993476,0.025259156
-0.000274451,0.008846845,-0.001438718,0.032913215,0.000402801,-5.70968E-05,-0.000835758,0.017176801,-0.005852158,0.21190827,0.002345189,-0.04143025
-0.000470265,0.014177613,-0.000536653,0.014018432,0.000477093,0.000391326,0.000409103,0.001145235,-0.00499685,0.17163366,0.001625209,0.052849151
-0.000239429,0.009419042,-0.000472202,0.006724861,0.000200304,0.001308498,-0.004446296,0.12659548,-0.005694169,0.18105084,0.001856054,0.014637422
-0.000676272,0.015944378,-0.000336105,0.004848326,0.000132811,0.004982159,-0.004802172,0.14155188,-0.003326563,0.11838679,-0.000298898,0.05177692
-0.000188173,0.006075102,-0.000535485,0.005786453,0.00014494,0.004340335,-0.000551466,0.001456272,-0.002939259,0.10195105,0.000475043,0.064481378
-0.000692888,0.022803821,-0.000514584,0.012890358,0.000477877,0.000294012,-0.002734595,0.10801284,-0.005318797,0.21173128,0.001805551,0.055390023
-0.000500092,0.019889385,-0.000714084,0.015821576,0.000294067,0.001242329,-0.004216682,0.12736715,-0.001599453,0.060566492,0.001274552,0.041587126
-0.000288098,0.00793569,-0.000619811,0.015415957,0.000207144,0.001565701,-0.00017279,-0.005583417,-0.000314626,0.082522482,0.001403936,0.038525019
