T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,dT2_panel0,dT_panel0,dT2_panel1,dT_panel1,dT2_panel2,dT_panel2,T2_d0,T_d0,T2_d1,T_d1,T2_d2,T_d2
-.00070939015,.022127496,-.00052004139,.012488715,.0006025015,-.0046154903,.00033615463,-.013955221,7.0008355e-06,.00029382986,-.00047009956,.0019797555,-.014329213,.47765845,.00078367826,.0079753753,-.00057047961,.15573865
-.000089980123,.0045411857,-.0010407226,.019693485,.00023525432,-.00031639417,.00013350099,-.0060243076,.00068417325,-.0070975837,-.00020603208,.002448512,.00259961,-.0533677,.0081615616,-.17679238,.0035636469,.016003462
-.00004869845,.000080190955,-.00022372714,.0014763321,.00018886586,.0014831276,1.2127654e-06,.00038305664,-.00032644378,.0087043317,-.00016994313,-.0038313214,.001347447,-.034543484,.000033023116,-.049577225,-.0020630278,.075720206
-.00028643105,.0071407198,-.00089859311,.021623354,.00024078348,.0016257578,.00021037461,-.0091251256,.00032569261,-.0057448503,-.00024177738,-.0032855978,-.0037766858,.18141936,-.0078748399,.11998737,-.00022405693,.031309359
-.00087137433,.03221425,-.00078001939,.019301159,.00012027001,.0011211565,.00068201451,-.025570629,.00023472885,-.0040552472,-.00018431888,.00049616862,.0036351501,-.10434697,-.0043949191,.14942376,.0016887611,.080830924
-.00035880151,.013795659,-.00036860758,.0086545125,.00033791721,.0027794538,.000010961008,-.006388911,-.00021147658,.0045737955,-.0003168672,-.0020602229,.00031618337,.12450977,.0010644499,.040715713,.0046314937,.042067114
-.00022220143,.01124995,-.00054289703,.013599282,.00019323303,.0029346456,.000062429048,-.0083047049,-.000051109477,.0012185929,-.00019103945,-.0018100004,.013824269,-.43934187,-.0045649391,.23732597,.0048839035,.048781831
.000015732401,.0015812647,-.0008399323,.010988038,.00022690928,-.0051054209,.000094105802,-.0075134919,.00061605655,-.0013168952,-.00028467816,.0042972346,.0059108292,-.12914361,-.009696424,.13959794,-.0011021134,-.046448536
-.00033438759,.011379644,-.00066206034,.014991002,.00024636748,.0036891822,.00022390942,-.01177201,.00021254476,-.0015210544,-.00029002401,.00096813275,-.0014240476,.034156945,.0019299279,-.042030439,-.0015911629,.18580753
-.00056440709,.017087113,-.00062780874,.01491742,.00023426785,.0068491641,.00057462888,-.022399552,.00032940714,-.003470764,-.00023305645,-.0035952274,.0032212003,-.11867855,-.0027702998,.01413501,.0023537646,.076047644
-.00054905604,.021108272,-.000543178,.013089333,.00027461609,.0015538025,.00010346241,-.0099225575,-.0002237258,.0057337754,-.00027570073,-.0031064602,.0045488831,-.0083232094,-.0041738488,.17948541,.0041507115,.080282576
-.00024834397,.0050095753,-.00020348051,-.001730723,.00013460091,.0025562677,.000087135224,-.0071173082,-.000060639959,.009774466,-.00023135963,-.0037238705,.0089951968,-.27125174,.016498171,-.37454548,.0086578745,-.027811328
-.00022477214,.0052807657,-.00060087524,.0083189579,.00033630177,.0053732446,.00011887468,-.004112401,-.000082940016,.0051073465,-.00027726137,-.0052440497,.00066075969,-.011503662,-.0025847645,.027893221,.001380579,.033598997
-.00071533234,.02721061,-.00038433482,.013561754,.0001913911,.0025433416,.00044175237,-.020017758,-.00002824311,-.000029196479,-.00023915072,.00057464791,.00477752,-.19138607,.0033745521,.000076603486,.0020345375,.07112138
-.00048297606,.0082348939,-.00060077856,.0094486149,.00036646341,.0065580579,.00057792774,-.018266341,.00012309947,.0016066314,-.00029911802,-.003358701,-.010252643,.26977977,-.015900107,.32842833,.0021099823,.16579407
-.00072371564,.025676135,-.00044096514,.013883185,.00046815709,.00030801664,.0004546938,-.01985372,.00026850781,-.0033753982,-.0004478287,.0022454294,-.00024501779,.068145812,.0065778387,-.038412534,.0052406299,.07326521
-.00066297251,.022185244,-.00019351966,.0080070784,.00014857062,.0028021741,.00028135179,-.015205316,-.00010947951,.0037468334,-.0001847393,.000069412483,.0042370954,-.084786952,.0054147989,-.021110741,.0049351114,-.015954874
