T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
-0.000809728,0.02180616,-0.001901889,0.043000072,0.000422411,-0.000420275,-0.005416136,0.12093557,-0.007629194,0.25287905,0.003307767,-0.014582173
-0.000814209,0.033303902,-0.001307317,0.038836926,0.000946184,-0.013209656,-0.005423446,0.17119035,-0.008783674,0.28761443,0.001796758,0.076242708
1.5418E-05,-0.003455459,-0.001641622,0.02360492,-0.000337927,-0.007664913,-0.002178235,0.048882138,-0.007331692,0.27421242,0.007167402,0.035427615
-0.000129904,0.007428424,-0.000835526,0.017039539,0.000271063,0.001082828,-0.002751773,0.063287102,-0.004818598,0.16155609,0.000537817,0.1342428
-0.000249829,-0.001860784,-0.001154947,0.020733694,-7.22E-05,0.002262832,-0.005478838,0.07734751,-0.007734742,0.2250462,0.003400113,0.03789572
-0.000128144,0.00673098,-0.000815774,0.015857412,0.000418049,-0.008613381,-0.00258505,0.093811378,-0.006011157,0.25211269,0.000278118,0.073887415
-0.000345439,0.011265023,-0.000775057,0.018108802,-5.29E-05,-0.001188493,-0.006469883,0.15537007,-0.005429745,0.20375948,0.003796025,0.014848088
-0.000325957,0.008056984,-0.000880138,0.018053448,0.000737536,-0.025381146,-0.00680208,0.23404853,-0.005370937,0.19988391,0.002755032,0.044692595
-0.000529654,0.012407722,-0.001962464,0.03567275,-6.28E-05,-0.002661778,-0.005656265,0.11246637,-0.008368731,0.27179062,0.000644417,0.1241487
-0.000553358,0.014541176,-0.001197821,0.033622529,-6.13E-05,-0.002358272,-0.005084628,0.074900024,-0.008319036,0.25871459,0.002886386,0.039762337
-0.000623688,0.006524357,-0.001653345,0.024159394,-0.000289723,-0.000216193,-0.001234928,-0.040109184,-0.006468387,0.24282782,-2.52E-05,0.14964785
-0.000291799,0.011644801,-0.001631361,0.024410512,4.27988E-05,-0.003529279,-0.000865885,-0.055232462,-0.006596318,0.22735824,0.001991504,0.082495049
-0.00045981,0.012179851,-0.001231844,0.019119786,0.000794544,-0.024321871,-0.005100501,0.069596283,-0.006143271,0.21227999,0.003139041,0.065399788
-1.39E-05,-0.002704036,-0.001122752,0.019774469,-0.000395384,0.00138314,-0.002010503,0.032432798,-0.004245946,0.15928741,0.000682957,0.094189413
-0.000778779,0.018751614,-0.001946923,0.040627785,0.000335649,-0.005532215,-0.003263238,0.011487746,-0.004623235,0.19213146,-3.87E-05,0.080699272
-0.00025949,0.013814346,-0.001219375,0.028680179,0.000120596,0.008427426,-0.002361734,-0.000452241,-0.004633037,0.23556626,0.000731,0.13102418
-0.00045498,0.020350691,-0.001081418,0.024415361,-4.87E-05,-0.00031612,-0.003042103,0.013839429,-0.00542154,0.18034773,0.002416953,0.071870543
-0.000525092,0.019042954,-0.000974559,0.037943777,0.000417914,0.000415947,-0.003935891,0.12981227,-0.001282808,0.12734802,0.000193609,0.13496824
-0.000586998,0.013261667,-0.000659442,0.02434398,8.62623E-05,0.000391957,-0.00161153,-0.062498137,-0.003704488,0.13682465,0.00245905,0.048639268
-0.000198223,0.010093492,-0.001082586,0.023688579,0.000204364,0.003796738,-0.002237328,0.030733772,-0.006878375,0.23493795,-0.001371387,0.13696909
-0.00049477,0.016388427,-0.000880414,0.02313382,0.000359478,-0.005988472,-0.003597313,0.060094744,-0.002555092,0.17045578,0.00098583,0.11156628
-0.00042828,0.021241425,-0.000920226,0.020859003,-0.000130244,0.000786273,-0.003840037,0.10958603,-0.002172313,0.10204625,0.000388638,0.15601431
-0.000840575,0.018119011,-0.000971969,0.020961132,0.000455866,-0.015062657,-0.002069003,0.084678009,-0.007394491,0.23000869,0.00309757,0.026391497
-0.000458305,0.020921737,-0.000577833,0.019719945,0.000163622,-0.007511883,-0.002267083,0.009793325,-0.001007266,0.12083743,0.001608285,0.033652462
-9.95E-05,0.000906828,-0.001263692,0.016204063,2.23401E-05,-0.011902255,-0.003922241,0.045429826,-0.00152265,0.080899082,0.001945861,0.065537721
-0.000635865,0.017318705,-0.001983737,0.042644005,-0.00019275,0.004417368,-0.004831644,0.063230895,-0.008324705,0.27942541,0.001518775,0.11872231
-0.00022852,0.016305353,-0.001416252,0.025000732,0.000127748,-0.00304799,-0.00466771,0.08003974,-0.004797022,0.1813989,0.001097273,0.024181006
-0.000128899,-0.003520914,-0.001366361,0.026626833,-0.000196305,-0.004294571,-0.003423106,0.005550999,-0.006286418,0.18811595,0.00290692,0.038085792
-0.000307711,0.015725167,-8.10E-05,0.006761427,0.000201941,-0.006754309,-0.005104134,0.097663939,0.000556125,0.043870714,-0.000778483,0.10031006
-0.000648495,0.019140502,-0.001558499,0.031097004,9.75499E-05,0.000659575,-0.00473063,0.023949144,-0.00472288,0.19625284,0.001103588,0.038021389
-3.99E-05,0.008760933,-0.001807385,0.021173295,-2.68E-05,-0.013083783,-0.002813665,-0.004632838,-0.003931237,0.20569375,0.003438736,0.019109564
-0.000514104,0.018058056,-0.001456605,0.027634077,-4.72E-05,0.000462354,-0.004894887,0.071784355,0.001943805,0.1222834,-0.001117059,0.078293964
-0.00039281,0.011001963,-0.000788361,0.017222261,0.000139814,-0.000189131,-0.005309617,0.071856767,-0.003377134,0.16154586,0.003121387,0.065892346
-4.28E-05,0.006926619,0.000295545,0.004142035,0.000364938,-0.004009672,-0.003061068,0.051937465,-0.002058247,0.12762205,0.003405209,0.038458146
-0.000126467,0.007846761,-0.00111553,0.024256978,0.000264378,-0.003912747,-0.00586241,0.12965131,-0.003179903,0.14240259,0.002978836,0.006499927
-0.000397422,0.010681818,-0.001777845,0.03447365,0.000137899,-0.002206797,-0.004401164,0.080008946,-0.006850866,0.18137586,0.001694216,0.078890927
-0.000596331,0.01693064,-0.001327476,0.03763707,8.04649E-05,0.00305787,-0.00215372,0.019840652,-0.005888243,0.24147254,0.000678811,0.16454445
-0.000594512,0.018795306,-0.000949768,0.021074407,0.000182863,-0.001263011,-0.003293582,0.009366198,-0.008755594,0.27638516,0.002941197,0.01643743
-0.000288618,0.012845486,-0.000980102,0.025528044,0.000220836,-0.003293708,-0.004808843,0.13562413,-0.005433705,0.21210465,0.0025424,0.050551843
-0.000607438,0.024303705,-0.001113129,0.02154707,0.000151759,0.000740941,-0.004098482,0.11940167,-0.008637235,0.26435149,0.002192023,0.051294081
-0.000215354,0.006914805,-0.001271055,0.019736124,-4.67E-05,-0.001629909,-0.003166674,0.1007285,-0.005057941,0.2384503,-0.002592709,0.22258727
-0.000205468,0.014116831,-0.001428263,0.021652754,0.000340159,-0.005875327,-0.006188395,0.11003559,-0.00712702,0.26491672,0.002102801,0.02619894
-0.000101604,0.003951713,-0.001464606,0.025213744,9.69337E-05,-0.004006527,-0.005629869,0.096127801,-0.005247996,0.19629364,0.000870547,0.098870523
-0.000204812,0.016334018,-0.001218588,0.031491227,0.00017135,0.00186382,-0.003590436,0.060181599,-0.004932881,0.21736252,0.001397777,0.12366036
-0.00052229,0.0136864,-0.001290343,0.023266459,1.40181E-05,-0.000914297,-0.004970448,0.067209125,-0.006818992,0.21455863,0.000729473,0.10935105
-6.88E-05,0.015259194,-0.001357746,0.032448199,2.59952E-05,0.003683179,-0.003321602,0.060610652,-0.004481931,0.19255672,0.001934075,0.077206999
-0.000181396,0.004424629,-0.001266708,0.029966941,1.98906E-05,-0.005997364,-0.004196226,0.091281414,-0.007791149,0.2628499,0.001134143,0.097448215
-0.000388862,0.011828816,-0.00107262,0.017108282,3.3583E-05,-0.00491902,-0.002355637,0.007970303,-0.005127554,0.20556849,0.002292703,0.067639664
-0.00072781,0.036712877,-0.001161289,0.038692456,0.000348209,0.004918275,-0.003115706,0.042657837,-0.003129636,0.18070711,0.002786424,0.11083753
